canonical_event_id,date,year,year_status,district,primary_event_type,tehsil,panchayat_village,fatalities,missing_persons,injured_persons,livestock_lost,houses_damaged_fully,houses_damaged_partially,financial_loss_inr_lakh,infrastructure_damage,source_count,classification_confidence,primary_source,event_summary
CANON_20210728_SHI_RAM,2021-07-28,2021,COMPLETE,Shimla,Cloudburst,Rampur,Sarpara Village,1,0,0,5,2,6,40.0,Local irrigation channels eroded,1,HIGH,hpsdma_memo_monsoon_2021.pdf,Cloudburst over Sarpara village washing out agricultural terraces.
CANON_20220706_KUL_MAN,2022-07-06,2022,COMPLETE,Kullu,Cloudburst,Manikaran,Chojh Village,4,1,2,8,5,7,175.0,"Chojh footbridge washed away, camping sites inundated",1,HIGH,hpsdma_memo_monsoon_2022.pdf,Early morning cloudburst in Chojh nullah inundating camping grounds and washing away footbridge.
CANON_20220819_MAN_GOH,2022-08-19,2022,COMPLETE,Mandi,Cloudburst,Gohar,Kashan Village,8,0,4,15,4,6,310.0,"Panchayat building damaged, internal link road buried under debris",1,HIGH,hpsdma_memo_monsoon_2022.pdf,Devastating cloudburst burying two family homes under rubble in Kashan village.
CANON_20230709_KUL_BHU,2023-07-09,2023,COMPLETE,Kullu,Cloudburst,Bhuntar,Gadsa Valley and Chojh nullah,4,2,6,25,12,20,650.0,"Bhuntar-Gadsa bridge approaches washed away, power lines down",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Violent cloudburst in Gadsa catchment triggering torrential debris flow down into Beas confluence.
CANON_20230709_MAN_THU,2023-07-09,2023,COMPLETE,Mandi,Cloudburst,Thunag,Thunag Market and Jhanjheli,2,0,5,10,8,35,920.0,"Thunag main market engulfed in 5ft silt and logs, vehicles dragged",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Massive cloudburst over hills above Thunag funneling timber debris and silt directly through town market.
CANON_20230814_SHI_SHI,2023-08-14,2023,COMPLETE,Shimla,Cloudburst,Shimla Urban,Summer Hill (Shiv Bawadi) and Fagli,20,0,10,5,14,18,2200.0,"Shiv Bawadi temple collapsed, Kalka-Shimla heritage railway line hung in mid-air",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Unprecedented cloudburst deluging Summer Hill slopes causing slope collapse that crushed Shiv temple.
CANON_20230814_KAN_JAW,2023-08-14,2023,COMPLETE,Kangra,Cloudburst,Jawali,Fatehpur and Pong Dam catchment,3,0,4,12,6,15,340.0,"Dehar khad bridges strained, rural roads cut off",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Intense cloudburst over lower Shivalik catchments funneling torrential flood into Pong Dam reservoir.
CANON_20240731_SHI_RAM,2024-07-31,2024,COMPLETE,Shimla,Cloudburst,Rampur,Samej Village (near Jhakri),33,28,15,45,28,12,3500.0,"Entire Samej village flattened, 2 hydro electric projects heavily damaged, primary school erased",1,HIGH,hpsdma_memo_monsoon_2024.pdf,Midnight cloudburst over Samej catchment generating an apocalyptic surge that erased Samej hamlet.
CANON_20240731_KUL_NIR,2024-07-31,2024,COMPLETE,Kullu,Cloudburst,Nirmand,Bagipul and Jaon Village,9,7,6,20,14,16,1100.0,"Kurpan khad bridge collapsed, market buildings washed away",1,HIGH,hpsdma_memo_monsoon_2024.pdf,Cloudburst in Kurpan khad basin causing violent flash flood washing away Bagipul market shops.
CANON_20240731_MAN_PAD,2024-07-31,2024,COMPLETE,Mandi,Cloudburst,Padhar,Tikkan and Rajban Village,10,6,8,18,8,11,980.0,"Rajban road cutoff, electrical transformers washed away, JSV schemes choked",1,HIGH,hpsdma_memo_monsoon_2024.pdf,Simultaneous cloudburst in Padhar sub-division triggering huge debris torrent burying Rajban dwellings.
CANON_20250801_MAN_GOH,2025-08-01,2025,COMPLETE,Mandi,Cloudburst,Gohar & Karsog,Karsog & Gohar catchment nullahs,6,2,5,16,7,18,410.0,"Link roads blocked, irrigation channels breached",1,HIGH,hpsdma_memo_monsoon_2025.pdf,Monsoon 2025 cloudburst outbreak in Mandi district (19 total cloudbursts documented in memo).
CANON_20250801_KUL_SAI,2025-08-01,2025,COMPLETE,Kullu,Cloudburst,Sainj,Sainj Valley nullahs,4,1,3,12,5,14,320.0,Sainj hydro project access bridge damaged,1,HIGH,hpsdma_memo_monsoon_2025.pdf,Severe cloudburst in Sainj valley (part of 12 documented Kullu cloudbursts in 2025 memo).
CANON_20250815_SHI_RAM,2025-08-15,2025,COMPLETE,Shimla,Cloudburst,Rampur,Rampur & Rohru border areas,2,0,2,8,3,9,180.0,Pabbar catchment link roads washed out,1,HIGH,hpsdma_memo_monsoon_2025.pdf,Cloudburst incident in Rampur sub-division (3 cloudbursts documented in Shimla district in 2025 memo).
CANON_20130616_KUL_KUL,2013-06-16,2013,COMPLETE,Kullu,Flash Flood,Kullu / Manali,"Manali, Akhara Bazaar, Bhuntar",10,4,15,45,35,85,2180.0,"NH-21 Beas bridge approaches eroded, apple orchards submerged",1,HIGH,hpsdma_memo_monsoon_2013_2015.pdf,Massive flash floods across Beas River basin triggered by early monsoon deluge coinciding with Uttarakhand disaster.
CANON_20130616_SHI_RAM,2013-06-16,2013,COMPLETE,Shimla,Flash Flood,Rampur / Chirgaon,"Rampur, Jhakri, Chirgaon",12,6,10,30,28,60,3810.0,"Hindustan-Tibet Road (NH-5) washed away in several stretches, Nathpa Jhakri HEP shut down due to silt",1,HIGH,hpsdma_memo_monsoon_2013_2015.pdf,Flash flooding in Sutlej and Pabbar rivers causing widespread damage to infrastructure and hydro plants.
CANON_20130616_MAN_SAD,2013-06-16,2013,COMPLETE,Mandi,Flash Flood,Sadar Mandi,"Pandoh, Mandi town, Aut",5,2,8,20,18,45,1680.0,"Pandoh Dam spillway gates opened at maximum capacity, NH-21 submerged",1,HIGH,hpsdma_memo_monsoon_2013_2015.pdf,Severe river surge along Beas inundating lower reaches of Mandi district.
CANON_20130616_KAN_PAL,2013-06-16,2013,COMPLETE,Kangra,Flash Flood,Palampur / Nurpur,"Palampur, Nurpur, Dehra",3,1,4,15,12,35,1200.0,"Road links severed, irrigation kuhl networks damaged",1,HIGH,hpsdma_memo_monsoon_2013_2015.pdf,Flash runoff in Kangra foothills during state-wide June 2013 calamity.
CANON_20140608_MAN_THA,2014-06-08,2014,COMPLETE,Mandi,Flash Flood,Thalout,Larji Hydro Reservoir Downstream,25,0,0,0,0,0,50.0,Hydro project warning system failure,1,HIGH,hpsdma_disaster_analysis_lr3_2007_2015.pdf,Sudden unannounced surge of water from Larji Dam drowning 24 engineering students on the riverbank.
CANON_20160812_KAN_DHA,2016-08-12,2016,COMPLETE,Kangra,Flash Flood,Dharamshala / Nurpur,Dharamshala periphery & Nurpur,2,2,3,10,4,12,80.0,Culverts and protection bunds breached along khads,1,HIGH,hpsdma_memo_monsoon_2016.pdf,Flash flood down Manjhi Khad causing casualties and erosion in Kangra district.
CANON_20180924_KUL_KUL,2018-09-24,2018,COMPLETE,Kullu,Flash Flood,Kullu and Manali,"Aut, Pandoh, and Akhara Bazaar",7,2,8,18,12,25,780.0,"Bhimakali temple market inundated, NH-21 damaged in multiple stretches",1,HIGH,hpsdma_memo_monsoon_2018.pdf,Raging waters of Beas River inundated lower Akhara Bazaar and residential clusters.
CANON_20190818_SHI_CHI,2019-08-18,2019,COMPLETE,Shimla,Flash Flood,Chirgaon,Muran and Sandasu,12,4,9,35,18,22,1200.0,"Andhra hydro project intake damaged, Rohru-Chirgaon highway severed",1,HIGH,hpsdma_memo_monsoon_2019.pdf,Enormous flood discharge in Andhra khad wiping out Muran and Sandasu riverside settlements.
CANON_20210728_KUL_MAN,2021-07-28,2021,COMPLETE,Kullu,Flash Flood,Manikaran,Manikaran Sahib and Tosh,5,2,4,8,4,6,240.0,"Campsites washed away, bridge connecting Manikaran and Tosh damaged",1,HIGH,hpsdma_memo_monsoon_2021.pdf,Brahma Ganga nullah flash flood washing away wooden footbridges and camps.
CANON_20220820_MAN_BAL,2022-08-20,2022,COMPLETE,Mandi,Flash Flood,Balh,Nerchowk and Nagchala,6,1,5,20,12,30,650.0,"Balh valley fields and commercial complexes flooded, NH-21 blocked",1,HIGH,hpsdma_memo_monsoon_2022.pdf,Severe overflow of Suketi Khad inundating Nerchowk town and commercial zones.
CANON_20220820_KAN_NUR,2022-08-20,2022,COMPLETE,Kangra,Flash Flood,Nurpur,Kandwal and Chakki railway crossing,2,0,2,4,2,8,1800.0,Railway bridge on Chakki river collapsed due to pier scouring,1,HIGH,hpsdma_memo_monsoon_2022.pdf,Flash flood discharge in Chakki River scouring foundations leading to complete collapse of British-era railway bridge.
CANON_20230709_KUL_MAN,2023-07-09,2023,COMPLETE,Kullu,Flash Flood,Manali and Kullu,"Old Manali, Bahang, Aloo Ground, and Green Tax Barrier",14,8,25,50,45,120,8500.0,"NH-3 Chandigarh-Manali completely washed into river, 40 shops erased, bus stand submerged",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Catastrophic flooding of the Beas River reshaping riverbed and wiping out key tourism infrastructure across Manali.
CANON_20230709_MAN_SAD,2023-07-09,2023,COMPLETE,Mandi,Flash Flood,Sadar Mandi,Panchvaktra Temple complex and Purani Mandi,9,4,18,35,28,90,4200.0,"Victoria bridge approach road submerged, Pandoh market flooded, JSV intake pump houses inundated",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Beas River reached historic record flood levels engulfing ancient Panchvaktra Temple and submerging Purani Mandi.
CANON_20230710_SHI_SHI,2023-07-10,2023,COMPLETE,Shimla,Flash Flood,Shimla Rural,Guma and Ashwani Khad pumping stations,3,1,4,12,6,14,1800.0,Major water supply pumping stations for Shimla city heavily silted and submerged,1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Flash flood silting and destroying electrical equipment of Shimla water pumping facilities leading to city-wide crisis.
CANON_20230814_KAN_NUR,2023-08-14,2023,COMPLETE,Kangra,Flash Flood,Nurpur and Indora,Mand areas of Indora and Fatehpur,8,2,12,40,32,65,2900.0,"Railway bridge pillar on Chakki washed away, hundreds marooned rescued by IAF helicopters",1,HIGH,hpsdma_pdna_monsoon_2023.pdf,Surge of water downstream of Pong Dam and flash torrent down Chakki khad marooning dozens of villages.
CANON_20250802_MAN_BAL,2025-08-02,2025,COMPLETE,Mandi,Flash Flood,Balh & Sadar Mandi,Nerchowk & Pandoh reach,4,1,4,15,8,22,380.0,"Protection walls breached, agricultural fields inundated",1,HIGH,hpsdma_memo_monsoon_2025.pdf,Flash flooding along Suketi Khad and Beas tributaries inundating low-lying residential sectors.
